cluster0_cons|n6	gi|19645|emb|X13289.1|	82.456	114	5.21e-20	113	Medicago sativa mRNA for nodulin-25 (clone 910)	X13289
cluster0_cons|n6	gi|19645|emb|X13289.1|	93.750	48	2.46e-08	75.0	Medicago sativa mRNA for nodulin-25 (clone 910)	X13289
cluster0_cons|n6	gi|19644|emb|X13288.1|	81.579	114	2.43e-18	108	M.sativa mRNA for nodulin-25 (clone 386i)	X13288
cluster0_cons|n6	gi|2532445923|emb|OY283144.1|	90.909	66	3.16e-12	87.9	Medicago lupulina genome assembly, chromosome: 6	OY283144
cluster0_cons|n6	gi|19642|emb|X13287.1|	90.909	66	3.16e-12	87.9	Medicago sativa nodulin-25 gene	X13287
cluster0_cons|n6	gi|2302088287|emb|OX326967.1|	88.889	63	6.84e-09	76.8	Medicago arabica genome assembly, chromosome: 4	OX326967
cluster1_cons|n5	gi|19114|emb|X05587.1|	96.099	282	2.76e-122	453	Barley mRNA for leaf-specific thionin (clone DC4)	X05587
cluster1_cons|n5	gi|19114|emb|X05587.1|	92.063	63	4.18e-11	84.2	Barley mRNA for leaf-specific thionin (clone DC4)	X05587
cluster1_cons|n5	gi|19115|emb|X05588.1|	96.057	279	1.29e-120	448	Barley mRNA for leaf-specific thionin (clone DF2)	X05588
cluster1_cons|n5	gi|19115|emb|X05588.1|	92.063	63	4.18e-11	84.2	Barley mRNA for leaf-specific thionin (clone DF2)	X05588
cluster1_cons|n5	gi|2133623710|ref|XM_045097058.1|	95.390	282	5.98e-119	442	PREDICTED: Hordeum vulgare subsp. vulgare leaf-specific thionin DB4-like (LOC123403088), mRNA	XM_045097058
cluster1_cons|n5	gi|2133623710|ref|XM_045097058.1|	92.063	63	4.18e-11	84.2	PREDICTED: Hordeum vulgare subsp. vulgare leaf-specific thionin DB4-like (LOC123403088), mRNA	XM_045097058
cluster1_cons|n5	gi|2133476809|ref|XM_045107029.1|	95.390	282	5.98e-119	442	PREDICTED: Hordeum vulgare subsp. vulgare leaf-specific thionin DB4 (LOC123418554), mRNA	XM_045107029
cluster1_cons|n5	gi|2133476809|ref|XM_045107029.1|	92.063	63	4.18e-11	84.2	PREDICTED: Hordeum vulgare subsp. vulgare leaf-specific thionin DB4 (LOC123418554), mRNA	XM_045107029
cluster1_cons|n5	gi|2133622849|ref|XM_045096832.1|	95.035	282	2.78e-117	436	PREDICTED: Hordeum vulgare subsp. vulgare leaf-specific thionin DB4-like (LOC123402873), mRNA	XM_045096832
cluster1_cons|n5	gi|2133622849|ref|XM_045096832.1|	92.063	63	4.18e-11	84.2	PREDICTED: Hordeum vulgare subsp. vulgare leaf-specific thionin DB4-like (LOC123402873), mRNA	XM_045096832
cluster2_cons|n15	gi|2258205177|ref|XM_048735966.1|	89.270	233	7.70e-76	300	PREDICTED: Brassica napus S-locus-specific glycoprotein S13 (LOC125576281), mRNA	XM_048735966
cluster2_cons|n15	gi|2258205177|ref|XM_048735966.1|	74.751	301	3.79e-34	161	PREDICTED: Brassica napus S-locus-specific glycoprotein S13 (LOC125576281), mRNA	XM_048735966
